Dispatched Date,Partner,Location,Asset,MAC Number,Serial Number,WAN MAC
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E7BE80,GPON00E7BE80,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E64BF0,GPON00E64BF0,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E75B60,GPON00E75B60,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E65FC0,GPON00E65FC0,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E77480,GPON00E77480,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E77880,GPON00E77880,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E7FF30,GPON00E7FF30,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E73AE0,GPON00E73AE0,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E6A4F0,GPON00E6A4F0,
24.03.2025,Push cable,Tuticorin,Dual Band ONT,989DB2E6D100,GPON00E6D100,
04.04.2025,Yogapradeep Cable,Namakkal,Switch,S5720-12TP-PWR-LI-AC,48F8DBC05156,21980105703GK4003189
04.04.2025,JPEG Media,Jalagandapuram,Switch,S5720-12TP-PWR-LI-AC,9C741AA214BE,21980105703GK5003469
04.04.2025,Vela Cable Vision,Edappadi,Switch,S5720-12TP-PWR-LI-AC,48F8DBC04D71,21980105703GK4003883
05.04.2025,Netfox,Urapakkam,Switch,S5720-12TP-PWR-LI-AC,48F8DBC04E75,21980105703GK4003583
08.04.2025,Akash Cable Network,Ulundhurpet,Switch,S5720-12TP-PWR-LI-AC,48F8DBC04C8B,21980105703GK4003798
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216B742,GPON0016B742,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2182762,GPON00182762,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2182D52,GPON00182D52,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB21839A2,GPON001839A2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216C6D2,GPON0016C6D2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2166522,GPON00166522,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216C052,GPON0016C052,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2182342,GPON00182342,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2182DF2,GPON00182DF2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216D5C2,GPON0016D5C2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2182E32,GPON00182E32,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB21826C2,GPON001826C2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216C942,GPON0016C942,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2169FA2,GPON00169FA2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2183652,GPON00183652,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2182692,GPON00182692,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2183032,GPON00183032,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB2165A02,GPON00165A02,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216BDA2,GPON0016BDA2,
08.04.2025,Akash Cable Network,Ulundhurpet,Dual Band ONT,989DB216B732,GPON0016B732,
08.04.2025,Akash Cable Network,Ulundhurpet,Set Top Box,88:82:79:64:57:C6,,
08.04.2025,Akash Cable Network,Ulundhurpet,Set Top Box,88:82:79:64:57:C9,,
08.04.2025,Akash Cable Network,Ulundhurpet,Set Top Box,88:82:79:64:57:BB,,
08.04.2025,Akash Cable Network,Ulundhurpet,Set Top Box,88:82:79:64:57:C8,,
08.04.2025,Akash Cable Network,Ulundhurpet,Set Top Box,88:82:79:64:56:D0,,
